Identifiant,Date,Bénéficiaire,Département,Nature du projet,Coût du projet,Subvention allouée,Part prise en charge (%),Parlementaire transmetteur,Nature,Département Parlementaire,Groupe politique du parlementaire,Lien vers données parlementaires
2011/8348,2011,SAINT-MERD-LA-BREUILLE,CREUSE,l'aménagement du bourg (1ère phase),159650.00,30000.00,18.79,Gouvernement,Réserve ministérielle,#N/A,,
2011/8349,2011,SAINT-MERD-LA-BREUILLE,CREUSE,l'acquisition d'une lame de déneigement,15150.00,5000.00,33.00,ASSOULINE David,Sénat,PARIS,SOC,http://nossenateurs.fr/ASSOULINE%20David/xml
2011/8350,2011,SAINT-MESMES,SEINE-ET-MARNE,l'installation d'un chauffage à l'église,12258.00,6129.00,50.00,BRICQ Nicole,Sénat,SEINE-ET-MARNE,SOC,http://nossenateurs.fr/BRICQ%20Nicole/xml
2011/8351,2011,SAINT-MESMES,SEINE-ET-MARNE,la mise en sécurité des corniches de l'église,27145.10,13572.00,50.00,BRICQ Nicole,Sénat,SEINE-ET-MARNE,SOC,http://nossenateurs.fr/BRICQ%20Nicole/xml
2011/8352,2011,SAINT-MESMIN,COTE-D'OR,la réhabilitation d'un ancien bâtiment en logement locatif communal,242683.31,30000.00,12.36,SAUVADET François,Assemblée nationale,COTE-D'OR,NC,http://2007.nosdeputes.fr/SAUVADET%20François/xml
2011/8353,2011,SAINT-MESMIN,COTE-D'OR,travaux de voirie (programme 2011),53496.70,25000.00,46.73,Gouvernement,Réserve ministérielle,#N/A,,
2011/8354,2011,SAINT-MESMIN,AUBE,l'extension et la mise aux normes des vestiaires du stade de football,181604.95,20000.00,11.01,ADNOT Philippe,Sénat,AUBE,NI,http://nossenateurs.fr/ADNOT%20Philippe/xml
2011/8355,2011,SAINT-MEXANT,CORREZE,"l'aménagement du parking de la résidence Dubois, du chemin rural de Villiéras, des allées du cimetière et de l'accès au contrôle technique",58878.30,5000.00,8.49,HOLLANDE François,Assemblée nationale,CORREZE,SRC,http://2007.nosdeputes.fr/HOLLANDE%20François/xml
2011/8356,2011,SAINT-MEXANT,CORREZE,"l'aménagement d'une dalle béton destinée à accueillir des conteneurs de tri sélectif, à l'entrée de la zone commerciale et artisanale de la Croix de la Chapelle",5530.50,1100.00,19.89,HOLLANDE François,Assemblée nationale,CORREZE,SRC,http://2007.nosdeputes.fr/HOLLANDE%20François/xml
2011/8357,2011,SAINT-MEXANT,CORREZE,la rénovation du groupe scolaire (2ème tranche),82200.00,5000.00,6.08,ASSOULINE David,Sénat,PARIS,SOC,http://nossenateurs.fr/ASSOULINE%20David/xml
2011/8358,2011,SAINT-MEXANT,CORREZE,la mise aux normes de l'installation électrique de la salle polyvalente,3531.80,1000.00,28.31,LE TEXIER Raymonde,Sénat,VAL-D'OISE,SOCV,http://nossenateurs.fr/LE TEXIER Raymonde/xml
2011/8359,2011,SAINT-MICHEL,LOIRET,l'installation de deux citernes de défense incendie aux hameaux de la Varenne et de la Croix Neuve,40000.00,7000.00,17.50,DUBOIS Marianne,Assemblée nationale,LOIRET,UMP,http://2007.nosdeputes.fr/DUBOIS%20Marianne/xml
2011/8360,2011,SAINT-MICHEL,CHARENTE,la réhabilitation du stade de football,231109.46,5000.00,2.16,CARRERE Jean-Louis,Sénat,LANDES,SOC,http://nossenateurs.fr/CARRERE%20Jean-Louis/xml
2011/8361,2011,SAINT-MICHEL-D'AURANCE,ARDECHE,l'extension du cimetière,15000.00,3000.00,20.00,RAOUL Daniel,Sénat,MAINE-ET-LOIRE,SOC,http://nossenateurs.fr/RAOUL%20Daniel/xml
2011/8362,2011,SAINT-MICHEL-DE-FEINS,MAYENNE,l'aménagement du bourg,125150.00,20000.00,15.98,ARTHUIS Jean,Sénat,MAYENNE,UDI,http://nossenateurs.fr/ARTHUIS%20Jean/xml
2011/8363,2011,SAINT-MICHEL-DE-LA-ROE,MAYENNE,"la sécurisation, la mise en accessibilité et l'aménagement paysager de la traversée d'agglomération",349408.00,40000.00,11.45,ARTHUIS Jean,Sénat,MAYENNE,UDI,http://nossenateurs.fr/ARTHUIS%20Jean/xml
2011/8364,2011,SAINT-MICHEL-DE-LIVET,CALVADOS,travaux de reprise en sous-oeuvre et de confortation de l'église,131345.00,4800.00,3.65,DUPONT Ambroise,Sénat,CALVADOS,UMP,http://nossenateurs.fr/DUPONT%20Ambroise/xml
2011/8365,2011,SAINT-MICHEL-DE-SAINT-GEOIRS,ISERE,l'aménagement d'un parking sécurisé aux abords de l'école,64190.00,10000.00,15.58,SAUGEY Bernard,Sénat,ISERE,UMP,http://nossenateurs.fr/SAUGEY%20Bernard/xml
2011/8366,2011,SAINT-MICHEL-SUR-ORGE,ESSONNE,l'aménagement d'un terrain synthétique au stade Fayel,700000.00,15000.00,2.14,DASSAULT Serge,Sénat,ESSONNE,UMP,http://nossenateurs.fr/DASSAULT%20Serge/xml
2011/8367,2011,SAINT-MICHEL-SUR-RHONE,LOIRE,la réhabilitation de la mairie,290225.00,10000.00,3.45,Gouvernement,Réserve ministérielle,#N/A,,
2011/8368,2011,SAINT-MICHEL-SUR-RHONE,LOIRE,l'acquisition de mobilier et de matériel pour la nouvelle école,7023.45,3000.00,42.71,FRECON Jean-Claude,Sénat,LOIRE,SOC,http://nossenateurs.fr/FRECON%20Jean-Claude/xml
2011/8369,2011,SAINT-MICHEL-THUBEUF,ORNE,le remplacement des huisseries de la salle polyvalente,16387.96,2000.00,12.20,LENOIR Jea-Cn laude,Assemblée nationale,#N/A,,http://2007.nosdeputes.fr/LENOIR Jea-Cn laude/xml
2011/8370,2011,SAINT-MICHEL-THUBEUF,ORNE,la réfection de la toiture de l'école maternelle,22178.00,5000.00,22.54,GOULET Nathalie,Sénat,ORNE,UDI,http://nossenateurs.fr/GOULET%20Nathalie/xml
2011/8371,2011,SAINT-MIHIEL,MEUSE,l'aménagement d'un skate-park à la Promenade des Dragons,82747.50,5000.00,6.04,BIWER Claude,Sénat,MEUSE,UC,http://nossenateurs.fr/BIWER%20Claude/xml
2011/8372,2011,SAINT-MOLF,LOIRE-ATLANTIQUE,la restauration du tabernacle de la chapelle Saint- Germain,7850.00,3000.00,38.22,TRILLARD André,Sénat,LOIRE-ATLANTIQUE,UMP,http://nossenateurs.fr/TRILLARD%20André/xml
