Identifiant,Date,Bénéficiaire,Département,Nature du projet,Coût du projet,Subvention allouée,Part prise en charge (%),Parlementaire transmetteur,Nature,Département Parlementaire,Groupe politique du parlementaire,Lien vers données parlementaires
2011/1713,2011,CHARNOD,JURA,la restauration de l'église,58808.62,4000.00,6.80,BARBIER Gilbert,Sénat,JURA,RDSE,http://nossenateurs.fr/BARBIER%20Gilbert/xml
2011/1714,2011,CHARNY,SEINE-ET-MARNE,le remplacement de fenêtres à l'école,14408.94,6000.00,41.64,HOUEL Michel,Sénat,SEINE-ET-MARNE,UMP,http://nossenateurs.fr/HOUEL%20Michel/xml
2011/1715,2011,CHARNY-LE-BACHOT,AUBE,le renforcement des contre-forts de l'église,6949.35,3474.00,49.99,ADNOT Philippe,Sénat,AUBE,NI,http://nossenateurs.fr/ADNOT%20Philippe/xml
2011/1716,2011,CHAROLLES,SAONE-ET-LOIRE,l'extension et la rénovation de la salle des mariages et du conseil municipal,188000.00,10000.00,5.32,COURTOIS Jean-Patrick,Sénat,SAONE-ET-LOIRE,UMP,http://nossenateurs.fr/COURTOIS%20Jean-Patrick/xml
2011/1717,2011,CHARQUEMONT,DOUBS,la construction d'une maison des services,607864.00,50000.00,8.23,Gouvernement,Réserve ministérielle,#N/A,,
2011/1718,2011,CHARRAY,EURE-ET-LOIR,la réfection du chemin rural n°10 dit de Blois,7920.00,2000.00,25.25,VIGIER Philippe,Assemblée nationale,EURE-ET-LOIR,NC,http://2007.nosdeputes.fr/VIGIER%20Philippe/xml
2011/1719,2011,CHARREY-SUR-SAONE,COTE-D'OR,l'installation d'une rampe d'accès pour les personnes à mobilité réduite à la mairie,5911.50,2364.00,39.99,HOUPERT Alain,Sénat,COTE-D'OR,UMP,http://nossenateurs.fr/HOUPERT%20Alain/xml
2011/1720,2011,CHARREY-SUR-SAONE,COTE-D'OR,la réfection du lavoir,17218.00,6887.00,40.00,REBSAMEN François,Sénat,COTE-D'OR,SOC,http://nossenateurs.fr/REBSAMEN%20François/xml
2011/1721,2011,CHARRON,CHARENTE-MARITIME,"l'aménagement d'une aire de jeux, rue Henri IV",19362.00,5000.00,25.82,LEONARD Jean-Louis,Assemblée nationale,CHARENTE-MARITIME,UMP,http://2007.nosdeputes.fr/LEONARD%20Jean-Louis/xml
2011/1722,2011,CHARRON,CREUSE,la réfection de la fosse commune du cimetière et la sécurisation des abords,28909.00,14000.00,48.43,Gouvernement,Réserve ministérielle,#N/A,,
2011/1723,2011,CHARSONVILLE,LOIRET,l'aménagement d'un jardin du souvenir,4399.00,2199.00,49.99,GROUARD Serge,Assemblée nationale,LOIRET,UMP,http://2007.nosdeputes.fr/GROUARD%20Serge/xml
2011/1724,2011,CHARTEVES,AISNE,le remplacement des menuiseries de l'école,22851.00,1500.00,6.56,VASSEUR Isabelle,Assemblée nationale,AISNE,UMP,http://2007.nosdeputes.fr/VASSEUR%20Isabelle/xml
2011/1725,2011,CHARTRENE,MAINE-ET-LOIRE,l'aménagement de la mairie,75040.00,13500.00,17.99,TAUGOURDEAU Jean-Charles,Assemblée nationale,MAINE-ET-LOIRE,UMP,http://2007.nosdeputes.fr/TAUGOURDEAU%20Jean-Charles/xml
2011/1726,2011,CHASNAY,NIEVRE,l'aménagement de la traversée du bourg (RD 196),26368.70,10000.00,37.92,GORCE Gaëtan,Assemblée nationale,NIEVRE,SRC,http://2007.nosdeputes.fr/GORCE%20Gaëtan/xml
2011/1727,2011,CHASSAGNES,HAUTE-LOIRE,"divers travaux d'aménagement du bourg, dans les secteurs de la mairie, de l'église, de la salle polyvalente et de la fontaine au lieu-dit ""La Croix""",150000.00,25000.00,16.67,PRORIOL Jean,Assemblée nationale,HAUTE-LOIRE,UMP,http://2007.nosdeputes.fr/PRORIOL%20Jean/xml
2011/1728,2011,CHASSELAS,SAONE-ET-LOIRE,l'aménagement d'un terrain municipal,160000.00,10000.00,6.25,VOISIN Gérard,Assemblée nationale,SAONE-ET-LOIRE,UMP,http://2007.nosdeputes.fr/VOISIN%20Gérard/xml
2011/1729,2011,CHASSENARD,ALLIER,l'aménagement de la place située devant l'école,35131.30,7000.00,19.93,DERIOT Gérard,Sénat,ALLIER,UMP,http://nossenateurs.fr/DERIOT%20Gérard/xml
2011/1730,2011,CHASSENEUIL-DU-POITOU,VIENNE,la reconstruction du restaurant scolaire,741551.00,30000.00,4.05,RAFFARIN Jean-Pierre,Sénat,VIENNE,UMP,http://nossenateurs.fr/RAFFARIN%20Jean-Pierre/xml
2011/1731,2011,CHASSEY-LES-SCEY,HAUTE-SAONE,l'installation d'un abribus pour le ramassage scolaire sur la RD 3,13995.00,2000.00,14.29,JOYANDET Alain,Assemblée nationale,HAUTE-SAONE,UMP,http://2007.nosdeputes.fr/JOYANDET%20Alain/xml
2011/1732,2011,CHASSIERS,ARDECHE,l'aménagement de sanitaires au point multi-services,6272.00,3000.00,47.83,FLORY Jean-Claude,Assemblée nationale,ARDECHE,UMP,http://2007.nosdeputes.fr/FLORY%20Jean-Claude/xml
2011/1733,2011,CHASSIEU,RHONE,l'extension du mur d'escalade du complexe sportif du Raquin,30062.69,13525.00,44.99,LE TEXIER Raymonde,Sénat,VAL-D'OISE,SOCV,http://nossenateurs.fr/LE TEXIER Raymonde/xml
2011/1734,2011,CHASSIGNY-SOUS-DUN,SAONE-ET-LOIRE,l'extension de la garderie périscolaire et la réhabilitation de la classe maternelle (phases n°1 et 2),326817.50,10000.00,3.06,EMORINE Jean-Paul,Sénat,SAONE-ET-LOIRE,UMP,http://nossenateurs.fr/EMORINE%20Jean-Paul/xml
2011/1735,2011,CHASSILLE,SARTHE,la restauration de la toiture de l'église et divers travaux de maçonnerie et de pierre de taille,154000.00,40000.00,25.97,Gouvernement,Réserve ministérielle,#N/A,,
2011/1736,2011,CHASTELLUX-SUR-CURE,YONNE,la réfection de la toiture de la mairie,72085.80,10000.00,13.87,Gouvernement,Réserve ministérielle,#N/A,,
2011/1737,2011,CHATAS,VOSGES,"le remplacement de l'horloge de l'église, la réfection du mur gauche du cimetière et du sol de la salle de réunions de la mairie",8205.40,4000.00,48.75,CHERPION Gérard,Assemblée nationale,VOSGES,UMP,http://2007.nosdeputes.fr/CHERPION%20Gérard/xml
2011/1738,2011,CHATEAU,SAONE-ET-LOIRE,la restauration de la toiture du clocher de l'église,171967.40,10000.00,5.82,VOISIN Gérard,Assemblée nationale,SAONE-ET-LOIRE,UMP,http://2007.nosdeputes.fr/VOISIN%20Gérard/xml
2011/1739,2011,CHATEAU-BERNARD,ISERE,"l'acquisition d'équipements adaptés et la mise en accessibilité du télésiège, dans le cadre de l'accueil des personnes handicapées à la station du Col de l'Arzelier",23812.00,9000.00,37.80,FAURE Jean,Sénat,ISERE,UMP,http://nossenateurs.fr/FAURE%20Jean/xml
2011/1740,2011,CHATEAU-CHINON,NIEVRE,la rénovation du centre culturel Condorcet,252897.02,30000.00,11.86,SIGNÉ René-Pierre,Sénat,NIEVRE,SOCV,http://nossenateurs.fr/SIGNÉ%20René-Pierre/xml
2011/1741,2011,CHATEAU-D'OLERON,CHARENTE-MARITIME,la réhabilitation des vestiaires et du club-house au stade de football,405000.00,25000.00,6.17,QUENTIN Didier,Assemblée nationale,CHARENTE-MARITIME,UMP,http://2007.nosdeputes.fr/QUENTIN%20Didier/xml
2011/1742,2011,CHATEAUDOUBLE,VAR,"la réfection du chemin communal des Avals, suite aux intempéries des 15 et 16 juin 2010",140979.00,30000.00,21.28,GINESTA Georges,Assemblée nationale,VAR,UMP,http://2007.nosdeputes.fr/GINESTA%20Georges/xml
2011/1743,2011,CHATEAUDOUBLE,VAR,la réfection du chemin de la Baume suite aux dégâts occasionnés par les inondations du 15 juin 2010,62327.00,20000.00,32.09,TRUCY François,Sénat,VAR,UMP,http://nossenateurs.fr/TRUCY%20François/xml
2011/1744,2011,CHATEAUDUN,EURE-ET-LOIR,la construction d'une maison de santé pluridisciplinaire,2656611.10,200000.00,7.53,Gouvernement,Réserve ministérielle,#N/A,,
2011/1745,2011,CHATEAU-GARNIER,VIENNE,"le renforcement de la voie communale ""Route de Petelièvre""",31138.64,15569.00,50.00,CARREZ Gilles,Assemblée nationale,VAL-DE-MARNE,UMP,http://2007.nosdeputes.fr/CARREZ%20Gilles/xml
2011/1746,2011,CHATEAUGIRON,ILLE-ET-VILAINE,l'aménagement de la rue de Rennes (tranche ferme),519528.00,60000.00,11.55,MEHAIGNERIE Pierre,Assemblée nationale,ILLE-ET-VILAINE,UMP,http://2007.nosdeputes.fr/MEHAIGNERIE%20Pierre/xml
2011/1747,2011,CHATEAU-LANDON,SEINE-ET-MARNE,la restauration du monument aux morts,3436.45,1718.00,49.99,JULIA Didier,Assemblée nationale,SEINE-ET-MARNE,UMP,http://2007.nosdeputes.fr/JULIA%20Didier/xml
2011/1748,2011,CHATEAUNEUF,VENDEE,la construction et l'équipement d'un restaurant scolaire et d'une garderie et l'aménagement des abords,689759.00,30000.00,4.35,PREEL Jean-Luc,Assemblée nationale,VENDEE,NC,http://2007.nosdeputes.fr/PREEL%20Jean-Luc/xml
2011/1749,2011,CHATEAUNEUF-DE-CHABRE,HAUTES-ALPES,la réfection de la salle polyvalente,25565.00,7669.00,30.00,MARTINEZ Henriette,Assemblée nationale,HAUTES-ALPES,UMP,http://2007.nosdeputes.fr/MARTINEZ%20Henriette/xml
2011/1750,2011,CHATEAUNEUF-DE-CHABRE,HAUTES-ALPES,l'installation de ralentisseurs et l'aménagement paysagé du village,15943.60,7800.00,48.92,BERNARD-REYMOND Pierre,Sénat,HAUTES-ALPES,NI,http://nossenateurs.fr/BERNARD-REYMOND%20Pierre/xml
2011/1751,2011,CHATEAUNEUF-DE-GADAGNE,VAUCLUSE,"l'aménagement sécuritaire du chemin du Vieux Moulin et de la traversée piétonnière au droit de l'école Saint- Charles, route d'Avignon",34390.00,10000.00,29.08,DUFAUT Alain,Sénat,VAUCLUSE,UMP,http://nossenateurs.fr/DUFAUT%20Alain/xml
2011/1752,2011,CHATEAUNEUF-DE-VERNOUX,ARDECHE,la réhabilitation de la mairie et l'aménagement des abords,106380.61,10000.00,9.40,MARC François,Sénat,FINISTERE,SOC,http://nossenateurs.fr/MARC%20François/xml
2011/1753,2011,CHATEAUNEUF-DU-FAOU,FINISTERE,l'aménagement du site des remparts (2ème phase),120030.60,60000.00,49.99,Gouvernement,Réserve ministérielle,#N/A,,
2011/1754,2011,CHATEAUNEUF-EN-AUXOIS,COTE-D'OR,la restauration de l'église (4ème tranche),198308.03,15000.00,7.56,HERVIAUX Odette,Sénat,MORBIHAN,SOC,http://nossenateurs.fr/HERVIAUX%20Odette/xml
2011/1755,2011,CHATEAUNEUF-LES-BAINS,PUY-DE-DOME,la réhabilitation du logement social situé dans le bâtiment de l'ancienne poste et la création d'une salle communale,126045.00,15000.00,11.90,MARC François,Sénat,FINISTERE,SOC,http://nossenateurs.fr/MARC%20François/xml
2011/1756,2011,CHATEAUNEUF-SUR-ISERE,DROME,la construction d'un complexe sportif dans le quartier Champagnole-Brignon (phase 1 - 2ème tranche),641328.59,20000.00,3.12,RAOUL Daniel,Sénat,MAINE-ET-LOIRE,SOC,http://nossenateurs.fr/RAOUL%20Daniel/xml
2011/1757,2011,CHATEAUNEUF-SUR-LOIRE,LOIRET,la mise en sécurité des douves du château,85827.16,12000.00,13.98,SUEUR Jean-Pierre,Sénat,LOIRET,SOC,http://nossenateurs.fr/SUEUR%20Jean-Pierre/xml
2011/1758,2011,CHATEAUNEUF-VILLEVIEILLE,ALPES-MARITIMES,l'aménagement de l'avenue de la Tour et de la place des Barbets,29056.14,14244.00,49.02,GIUDICELLI Colette,Sénat,ALPES-MARITIMES,UMP,http://nossenateurs.fr/GIUDICELLI%20Colette/xml
2011/1759,2011,CHATEAURENARD,BOUCHES-DU-RHONE,l'installation de panneaux d'information lumineux,46000.00,23000.00,50.00,REYNES Bernard,Assemblée nationale,BOUCHES-DU-RHONE,UMP,http://2007.nosdeputes.fr/REYNES%20Bernard/xml
2011/1760,2011,CHATEAU-ROUGE,MOSELLE,l'installation d'indicateurs de vitesse aux entrées du village et d'un miroir de sécurité,7670.00,3835.00,50.00,FILIPPETTI Aurélie,Assemblée nationale,MOSELLE,SRC,http://2007.nosdeputes.fr/FILIPPETTI%20Aurélie/xml
2011/1761,2011,CHATEAU-ROUGE,MOSELLE,l'acquisition d'une tondeuse et d'une débroussailleuse,2172.00,1086.00,50.00,TODESCHINI Jean-Marc,Sénat,MOSELLE,SOC,http://nossenateurs.fr/TODESCHINI%20Jean-Marc/xml
2011/1762,2011,CHATEAU-SUR-EPTE,EURE,l'acquisition d'un tableau blanc interactif pour l'école,4815.00,2000.00,41.54,MAUREY Hervé,Sénat,EURE,UDI,http://nossenateurs.fr/MAUREY%20Hervé/xml
2011/1763,2011,CHATEAUVERT,VAR,la construction de gîtes communaux destinés aux artistes et aux touristes,167439.70,10000.00,5.97,TRUCY François,Sénat,VAR,UMP,http://nossenateurs.fr/TRUCY%20François/xml
2011/1764,2011,CHATEAUVIEUX-LES-FOSSES,DOUBS,la sécurisation des escaliers extérieurs de la mairie,3910.60,1000.00,25.57,HUMBERT Jean-rFançois,Sénat,#N/A,,http://nossenateurs.fr/HUMBERT%20Jean-rFançois/xml
2011/1765,2011,CHATEAUVILLAIN,HAUTE-MARNE,le remplacement des huisseries de l'école maternelle Claude Monet,34002.00,10000.00,29.41,SIDO Bruno,Sénat,HAUTE-MARNE,UMP,http://nossenateurs.fr/SIDO%20Bruno/xml
2011/1766,2011,CHATEAU-VOUE,MOSELLE,"l'extension de la mairie, la réfection de la toiture et la mise aux normes électriques",25746.52,4500.00,17.48,MARTY Alain,Assemblée nationale,MOSELLE,UMP,http://2007.nosdeputes.fr/MARTY%20Alain/xml
2011/1767,2011,CHATEL,HAUTE-SAVOIE,la réhabilitation du bâtiment de l'ancienne douane en centre d'interprétation de la contrebande en montagne,325000.00,50000.00,15.38,ACCOYER Bernard,Assemblée nationale,HAUTE-SAVOIE,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
2011/1768,2011,CHATELAILLON-PLAGE,CHARENTE-MARITIME,"l'acquisition d'une maison située 22, boulevard de la Libération et sa réhabilitation en locaux pour les services publics communaux",479043.00,150000.00,31.31,ACCOYER Bernard,Assemblée nationale,HAUTE-SAVOIE,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
2011/1769,2011,CHATELAIS,MAINE-ET-LOIRE,la construction d'un pôle scolaire,874814.00,10000.00,1.14,ACCOYER Bernard,Assemblée nationale,HAUTE-SAVOIE,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
2011/1770,2011,CHATEL-CHEHERY,ARDENNES,la réfection du mur du cimetière,8973.69,4000.00,44.57,Gouvernement,Réserve ministérielle,#N/A,,
2011/1771,2011,CHATEL-DE-JOUX,JURA,la réhabilitation et la mise en accessibilité de la mairie,37200.00,5500.00,14.78,BAILLY Gérard,Sénat,JURA,UMP,http://nossenateurs.fr/BAILLY%20Gérard/xml
2011/1772,2011,CHATELNEUF,LOIRE,l'aménagement d'une salle évolutive et associative dans l'ancienne salle des fêtes,281000.00,20000.00,7.12,CHOSSY Jean-François,Assemblée nationale,LOIRE,UMP,http://2007.nosdeputes.fr/CHOSSY%20Jean-François/xml
2011/1773,2011,CHATEL-SAINT-GERMAIN,MOSELLE,l'acquisition de matériel informatique et de logiciels de gestion pour la mairie,12555.20,4000.00,31.86,JARRAUD-VERGNOLLE Annie,Sénat,PYRENEES-ATLANTIQUES,SOCV,http://nossenateurs.fr/JARRAUD-VERGNOLLE%20Annie/xml
2011/1774,2011,CHATELUS-MALVALEIX,CREUSE,la restauration du beffroi et de la toiture de la mairie,221989.91,15000.00,6.76,ASSOULINE David,Sénat,PARIS,SOC,http://nossenateurs.fr/ASSOULINE%20David/xml
2011/1775,2011,CHATENOIS-LES-FORGES,TERRITOIRE DE BELFORT,la restauration de l'orgue de l'église Saint-Etienne,183946.00,10000.00,5.44,CHEVENEMENT Jean-Pierre,Sénat,TERRITOIRE DE BELFORT,RDSE,http://nossenateurs.fr/CHEVENEMENT%20Jean-Pierre/xml
2011/1776,2011,CHATIGNONVILLE,ESSONNE,la création d'un réseau de collecte des eaux usées ( tranches ferme et conditionnelle),295859.00,20000.00,6.76,COLOT Geneviève,Assemblée nationale,ESSONNE,UMP,http://2007.nosdeputes.fr/COLOT%20Geneviève/xml
2011/1777,2011,CHATIGNONVILLE,ESSONNE,l'aménagement d'une station d'épuration,178725.82,15000.00,8.39,Gouvernement,Réserve ministérielle,#N/A,,
2011/1778,2011,CHATILLON,HAUTS-DE-SEINE,"la réfection des trottoirs et de la chaussée, rue Béranger et l'enfouissement des réseaux, rue Jean Macé",409594.00,100000.00,24.41,SCHOSTECK Jean-Pierre,Assemblée nationale,HAUTS-DE-SEINE,UMP,http://2007.nosdeputes.fr/SCHOSTECK%20Jean-Pierre/xml
2011/1779,2011,CHATILLON,HAUTS-DE-SEINE,"l'enfouissement des réseaux, rue Esther Cordier et la mise en sécurité de l'avenue Clément Perrière",288109.53,50000.00,17.35,SCHOSTECK Jean-Pierre,Assemblée nationale,HAUTS-DE-SEINE,UMP,http://2007.nosdeputes.fr/SCHOSTECK%20Jean-Pierre/xml
2011/1780,2011,CHATILLON-D'AZERGUES,RHONE,la réfection du logement communal situé à l'étage du bâtiment de la gare,19955.00,7000.00,35.08,DINI Muguette,Sénat,RHONE,UDI,http://nossenateurs.fr/DINI%20Muguette/xml
2011/1781,2011,CHATILLON-EN-DIOIS,DROME,"l'acquisition de parcelles cadastrées AB 369, 968 et 966 (La Baurie)",32000.00,10000.00,31.25,ACCOYER Bernard,Assemblée nationale,HAUTE-SAVOIE,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
2011/1782,2011,CHATILLON-EN-DIOIS,DROME,la construction de sanitaires à l'école communale,55866.39,6000.00,10.74,BOULAUD Didier,Sénat,NIEVRE,SOC,http://nossenateurs.fr/BOULAUD%20Didier/xml
2011/1783,2011,CHATILLON-EN-DUNOIS,EURE-ET-LOIR,le remplacement des menuiseries extérieures de la salle des fêtes,35157.65,10000.00,28.44,VIGIER Philippe,Assemblée nationale,EURE-ET-LOIR,NC,http://2007.nosdeputes.fr/VIGIER%20Philippe/xml
2011/1784,2011,CHATILLON-EN-DUNOIS,EURE-ET-LOIR,"la sécurisation des abords du groupe scolaire, de la mairie et de l'arsenal du S.D.I.S",197796.50,50000.00,25.28,Gouvernement,Réserve ministérielle,#N/A,,
2011/1785,2011,CHATILLON-EN-DUNOIS,EURE-ET-LOIR,l'enfouissement des réseaux dans les rues du 11 Août 1944 et de Châteaudun,151830.00,50000.00,32.93,Gouvernement,Réserve ministérielle,#N/A,,
2011/1786,2011,CHATILLON-EN-DUNOIS,EURE-ET-LOIR,"l'aménagement de trottoirs, rue de Châteaudun et rue du 11 Août 1944",52964.00,10000.00,18.88,de MONTGOLFIER Albéric,Sénat,EURE-ET-LOIR,UMP,http://nossenateurs.fr/de MONTGOLFIER Albéric/xml
2011/1787,2011,CHATILLON-EN-DUNOIS,EURE-ET-LOIR,"le renouvellement des canalisations d'eau potable, rues du Chapeau Pointu et de Châteaudun",178088.60,70000.00,39.31,PASQUA Charles,Sénat,HAUTS-DE-SEINE,UMP,http://nossenateurs.fr/PASQUA%20Charles/xml
2011/1788,2011,CHATILLON-EN-MICHAILLE,AIN,l'acquisition de l'ancien bâtiment des douanes,117000.00,10000.00,8.55,BLANC Etienne,Assemblée nationale,AIN,UMP,http://2007.nosdeputes.fr/BLANC%20Etienne/xml
2011/1789,2011,CHATILLON-EN-MICHAILLE,AIN,l'acquisition de défibrillateurs cardiaques automatiques et de boîtiers muraux,3161.40,1000.00,31.63,GOY-CHAVENT Sylvie,Sénat,AIN,UDI,http://nossenateurs.fr/GOY-CHAVENT%20Sylvie/xml
2011/1790,2011,CHATILLON-EN-VENDELAIS,ILLE-ET-VILAINE,l'aménagement d'une médiathèque,302164.00,20000.00,6.62,SUEUR Jean-Pierre,Sénat,LOIRET,SOC,http://nossenateurs.fr/SUEUR%20Jean-Pierre/xml
2011/1791,2011,CHATILLON-LA-PALUD,AIN,l'acquisition de défibrillateurs cardiaques automatiques et d'armoires externes,4208.00,2000.00,47.53,GOY-CHAVENT Sylvie,Sénat,AIN,UDI,http://nossenateurs.fr/GOY-CHAVENT%20Sylvie/xml
2011/1792,2011,CHATILLON-LE-DUC,DOUBS,l'installation d'un équipement de sonorisation au gymnase Bellevue,5043.48,2520.00,49.97,GROSPERRIN Jacques,Assemblée nationale,DOUBS,UMP,http://2007.nosdeputes.fr/GROSPERRIN%20Jacques/xml
2011/1793,2011,CHATILLON-LE-ROI,LOIRET,la réhabilitation de la salle polyvalente et de la mairie,18210.61,6000.00,32.95,SUEUR Jean-Pierre,Sénat,LOIRET,SOC,http://nossenateurs.fr/SUEUR%20Jean-Pierre/xml
2011/1794,2011,CHATILLON-LE-ROI,LOIRET,l'aménagement d'un jardin du souvenir et la mise en place de cavurnes,2150.00,1075.00,50.00,SUEUR Jean-Pierre,Sénat,LOIRET,SOC,http://nossenateurs.fr/SUEUR%20Jean-Pierre/xml
2011/1795,2011,CHATILLON-LES-SONS,AISNE,l'acquisition de matériel informatique,882.94,441.00,49.95,LEFEVRE Antoine,Sénat,AISNE,UMP,http://nossenateurs.fr/LEFEVRE%20Antoine/xml
2011/1796,2011,CHATILLON-SUR-COLMONT,MAYENNE,la construction d'une salle de tennis de table,333250.00,30000.00,9.00,ARTHUIS Jean,Sénat,MAYENNE,UDI,http://nossenateurs.fr/ARTHUIS%20Jean/xml
2011/1797,2011,CHATILLON-SUR-MARNE,MARNE,"l'enfouissement des réseaux, rue de Cuisles et rue Jean d'Igny",122483.73,10000.00,8.16,MARTIN Philippe-Armand,Assemblée nationale,#N/A,,http://2007.nosdeputes.fr/MARTIN%20Philippe-Armand/xml
2011/1798,2011,CHATONNAY,ISERE,"la construction d'un cabinet médical, place de la gare",753114.00,32000.00,4.25,COLOMBIER Georges,Assemblée nationale,ISERE,UMP,http://2007.nosdeputes.fr/COLOMBIER%20Georges/xml
2011/1799,2011,CHATONRUPT-SOMMERMONT,HAUTE-MARNE,la réfection de la traversée de Sommermont,10000.00,3500.00,35.00,CORNUT-GENTILLE François,Assemblée nationale,HAUTE-MARNE,UMP,http://2007.nosdeputes.fr/CORNUT-GENTILLE%20François/xml
2011/1800,2011,CHATOU,YVELINES,"l'aménagement d'un parc urbain, rue Auguste Renoir",1001485.00,40000.00,3.99,LEQUILLER Pierre,Assemblée nationale,YVELINES,UMP,http://2007.nosdeputes.fr/LEQUILLER%20Pierre/xml
2011/1801,2011,CHATOU,YVELINES,la réfection du cinéma et l'installation d'équipements en technologie 3D,113949.30,20000.00,17.55,Gouvernement,Réserve ministérielle,#N/A,,
2011/1802,2011,CHATRES,DORDOGNE,la restauration de l'église,181500.00,300.00,0.17,BERIT-DEBAT Claude,Sénat,DORDOGNE,SOC,http://nossenateurs.fr/BERIT-DEBAT%20Claude/xml
2011/1803,2011,CHATTANCOURT,MEUSE,la restructuration du bâtiment communal,270280.00,10000.00,3.70,BIWER Claude,Sénat,MEUSE,UC,http://nossenateurs.fr/BIWER%20Claude/xml
2011/1804,2011,CHAUCHIGNY,AUBE,"l'aménagement d'un site cinéraire, d'un jardin du souvenir et la réfection de l'abri du cimetière",8167.84,1000.00,12.24,Gouvernement,Réserve ministérielle,#N/A,,
2011/1805,2011,CHAUCHIGNY,AUBE,"la restauration du monument aux Morts, le remplacement des vitraux de l'église et d'une porte à la salle polyvalente",8071.80,4035.00,49.99,ADNOT Philippe,Sénat,AUBE,NI,http://nossenateurs.fr/ADNOT%20Philippe/xml
2011/1806,2011,CHAUDENAY,HAUTE-MARNE,la réhabilitation de l'ancien château,71117.55,8000.00,11.25,DELONG Sophie,Assemblée nationale,HAUTE-MARNE,UMP,http://2007.nosdeputes.fr/DELONG%20Sophie/xml
2011/1807,2011,CHAUDENAY-LA-VILLE,COTE-D'OR,la réhabilitation du secrétariat de mairie et de la salle communale,26548.84,5000.00,18.83,RAOUL Daniel,Sénat,MAINE-ET-LOIRE,SOC,http://nossenateurs.fr/RAOUL%20Daniel/xml
2011/1808,2011,CHAUDUN,AISNE,"le remplacement d'une borne incendie à l'angle de la rue Lucien Liénart et de la rue Fernand Bertonnière, l'isolation du plafond de la salle polyvalente et l'acquisition d'une tondeuse",8597.01,3200.00,37.22,VASSEUR Isabelle,Assemblée nationale,AISNE,UMP,http://2007.nosdeputes.fr/VASSEUR%20Isabelle/xml
2011/1809,2011,CHAUFFAILLES,SAONE-ET-LOIRE,le confortement de l'ancien bâtiment du Netto et la mise en sécurité de l'accès à l'école Pierre Faure,202052.52,30000.00,14.85,ACCOYER Bernard,Assemblée nationale,HAUTE-SAVOIE,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
2011/1810,2011,CHAUFOUR-LES-BONNIERES,YVELINES,la remise à niveau du monument aux morts,7260.00,3490.00,48.07,LARCHER Gérard,Sénat,YVELINES,UMP,http://nossenateurs.fr/LARCHER%20Gérard/xml
2011/1811,2011,CHAUFOUR-NOTRE-DAME,SARTHE,"la construction de sanitaires publics, place de l'Eglise",31681.23,6000.00,18.94,Gouvernement,Réserve ministérielle,#N/A,,
2011/1812,2011,CHAULIEU,MANCHE,"l'aménagement, l'extension et la mise aux normes de la salle de convivialité",196673.00,8000.00,4.07,HUET Guenhaël,Assemblée nationale,MANCHE,UMP,http://2007.nosdeputes.fr/HUET%20Guenhaël/xml
2011/1813,2011,CHAUM,HAUTE-GARONNE,le remplacement de la porte de la cour intérieure de la mairie,1841.00,550.00,29.88,AUBAN Bertrand,Sénat,HAUTE-GARONNE,SOC,http://nossenateurs.fr/AUBAN%20Bertrand/xml
2011/1814,2011,CHAUM,HAUTE-GARONNE,la mise aux normes de l'électricité de la salle des fêtes,4487.12,1340.00,29.86,AUBAN Bertrand,Sénat,HAUTE-GARONNE,SOC,http://nossenateurs.fr/AUBAN%20Bertrand/xml
2011/1815,2011,CHAUM,HAUTE-GARONNE,la mise au normes électriques du rez-de-chaussée de la mairie,5900.42,1770.00,30.00,AUBAN Bertrand,Sénat,HAUTE-GARONNE,SOC,http://nossenateurs.fr/AUBAN%20Bertrand/xml
2011/1816,2011,CHAUMEIL,CORREZE,"le renforcement de la voie communale n° 11, du Suc au May",32820.90,16410.00,50.00,Gouvernement,Réserve ministérielle,#N/A,,
2011/1817,2011,CHAUMERCENNE,HAUTE-SAONE,"la pose de caniveaux, rue de la Midère",18940.00,3000.00,15.84,JOYANDET Alain,Assemblée nationale,HAUTE-SAONE,UMP,http://2007.nosdeputes.fr/JOYANDET%20Alain/xml
2011/1818,2011,CHAUMERCENNE,HAUTE-SAONE,la construction d'une nouvelle mairie,325161.79,8000.00,2.46,KRATTINGER Yves,Sénat,HAUTE-SAONE,SOC,http://nossenateurs.fr/KRATTINGER%20Yves/xml
2011/1819,2011,CHAUMONT,HAUTE-MARNE,l'acquisition de matériel informatique et d'un tableau numérique pour les écoles élémentaires,161600.69,50000.00,30.94,Gouvernement,Réserve ministérielle,#N/A,,
2011/1820,2011,CHAUMONT-DEVANT-DAMVILLERS,MEUSE,la mise aux normes d'accessibilité et la réfection intérieure de la mairie,7616.32,2001.00,26.27,DUMONT Jean-Louis,Assemblée nationale,MEUSE,SRC,http://2007.nosdeputes.fr/DUMONT%20Jean-Louis/xml
2011/1821,2011,CHAUMONT-EN-VEXIN,OISE,la restauration de la salle de Justice de Paix de l'Hôtel de Ville,46038.49,10000.00,21.72,MARINI Philippe,Sénat,OISE,UMP,http://nossenateurs.fr/MARINI%20Philippe/xml
