Identifiant,Bénéficiaire,Département,Nature du projet,Coût du projet,Subvention allouée,Parlementaire transmetteur,Nature,Département Parlementaire,Groupe politique du parlementaire
2011/6253,MOULINET,ALPES-MARITIMES,la réfection de la voie Saint-Sébastien,18510.0,9255.0,GUIBAL Jean-Claude,Assemblée nationale,ALPES-MARITIMES,UMP
2011/6254,MOULIN-MAGE,TARN,"la réfection de la toiture, de la chaufferie et de la sacristie de l'église Cabannes",10180.5,4000.0,FOLLIOT Philippe,Assemblée nationale,TARN,NC
2011/6255,MOULINS-ENGILBERT,NIEVRE,la restauration de l'ouvrage d'entrée du Vieux Château,301083.12,10000.0,SIGNÉ René-Priree,Sénat,,
2011/6256,MOULINS-LA-MARCHE,ORNE,l'acquisition de matériel de projection et de guirlandes de décoration destinés à l'organisation des comices agricoles,4560.03,2000.0,GOULET Nathalie,Sénat,ORNE,UDI
2011/6257,MOULIS,ARIEGE,le renforcement de la chaussée sur le chemin de la Unglo (programme 2010),57274.0,3000.0,NAYROU Henri,Assemblée nationale,ARIEGE,SRC
2011/6258,MOULLE,PAS-DE-CALAIS,la mise en sécurité de la RD 943,42526.6,10000.0,HENNERON Françoise,Sénat,PAS-DE-CALAIS,UMP
2011/6259,MOURIES,BOUCHES-DU-RHONE,la construction d'un skate-park,27525.0,7000.0,REYNES Bernard,Assemblée nationale,BOUCHES-DU-RHONE,UMP
2011/6260,MOURIOUX-VIEILLEVILLE,CREUSE,la réfection du parvis de l'église et des marches du porche,28760.0,10000.0,FISCHER Guy,Sénat,RHONE,CRC
2011/6261,MOURS-SAINT-EUSEBE,DROME,l'acquisition de terrains et l'aménagement du secteur des Grandes Vignes,800385.5,15000.0,ACCOYER Bernard,Assemblée nationale,HAUTE-SAVOIE,UMP
2011/6262,MOUSSAGES,CANTAL,la réfection de la voie communale de Fressanges à Valans,73000.0,10000.0,MARLEIX Alain,Assemblée nationale,CANTAL,UMP
2011/6263,MOUSSAGES,CANTAL,l'aménagement de l'entrée du bourg sur la RD 678 aux abords du lotissement,109650.5,8000.0,MEZARD Jacques,Sénat,CANTAL,RDSE
2011/6264,MOUSSEAUX-NEUVILLE,EURE,"la réfection de la voirie, rues du Château d'Eau et des Ecoles",42881.0,13000.0,Gouvernement,Réserve ministérielle,,
2011/6265,MOUSSEY,VOSGES,l'acquisition d'un véhicule utilitaire UNIMOG UC 300,144648.83,4000.0,CHERPION Gérard,Assemblée nationale,VOSGES,UMP
2011/6266,MOUSSEY,MOSELLE,l'installation de cinémomètres aux entrées d'agglomération,8610.0,2000.0,MASSON Jean-Louis,Sénat,,
2011/6267,MOUSSY-LE-NEUF,SEINE-ET-MARNE,l'aménagement de la cour du groupe scolaire du chêne,23100.0,2500.0,Gouvernement,Réserve ministérielle,,
2011/6268,MOUSTIER,LOT-ET-GARONNE,la rénovation de l'école et la création d'une structure petite enfance,259000.0,20000.0,DIEFENBACHER Michel,Assemblée nationale,LOT-ET-GARONNE,UMP
2011/6269,MOUSTOIR-REMUNGOL,MORBIHAN,"la restauration de la charpente, de la toiture et de la voûte lambrissée de l'église",404369.47,10000.0,HERVIAUX Odette,Sénat,MORBIHAN,SOC
2011/6270,MOUTERHOUSE,MOSELLE,la restauration de l'église catholique,321070.0,10000.0,Gouvernement,Réserve ministérielle,,
2011/6271,MOUTIERS,ILLE-ET-VILAINE,la construction d'une station d'épuration,1020228.0,90000.0,MEHAIGNERIE Pierre,Assemblée nationale,ILLE-ET-VILAINE,UMP
2011/6272,MOUTIERS-AU-PERCHE,ORNE,"l'aménagement de la traversée du bourg, entrée Est et rue Alphonse Colas (tranche conditionnelle)",88918.75,10000.0,LENOIR Jean-Claude,Assemblée nationale,ORNE,UMP
2011/6273,MOUVAUX,NORD,la mise aux normes du sas d'entrée de la mairie,18500.0,9250.0,GERARD Bernard,Assemblée nationale,NORD,UMP
2011/6274,MOUZEUIL-SAINT-MARTIN,VENDEE,la construction d'un multi-commerces,546265.0,15000.0,RETAILLEAU Bruno,Sénat,VENDEE,UMP
2011/6275,MOUZON,CHARENTE,la réfection de la façade de la mairie,15647.5,4000.0,PINVILLE Martine,Assemblée nationale,CHARENTE,SRC
2011/6276,MOVAL,TERRITOIRE DE BELFORT,des aménagements de sécurité pour les riverains des rues de Courtèlement et des Soies,25441.0,10000.0,Gouvernement,Réserve ministérielle,,
2011/6277,MOY-DE-L'AISNE,AISNE,la mise aux normes de la cuisine du Centre Socio- Culturel,81646.86,8000.0,GRUNY Pascale,Assemblée nationale,AISNE,UMP
2011/6278,MOYE,HAUTE-SAVOIE,la restauration de la chapelle de Poisu,82796.06,15000.0,ACCOYER Bernard,Assemblée nationale,HAUTE-SAVOIE,UMP
2011/6279,MOYEN,MEURTHE-ET-MOSELLE,"l'élargissement d'un trottoir, rue de l'Ancienne Poste",11230.0,4000.0,BOULAUD Didier,Sénat,NIEVRE,SOC
2011/6280,MOYENVIC,MOSELLE,"la réfection de l'éclairage public, rue de Vic",3665.0,1000.0,MARTY Alain,Assemblée nationale,MOSELLE,UMP
2011/6281,MOYENVIC,MOSELLE,l'acquisition d'un micro-tracteur,13425.0,3000.0,LARCHER Gérard,Sénat,YVELINES,UMP
2011/6282,MOYEUVRE-PETITE,MOSELLE,l'acquisition d'un pare-ballons pour l'aire de jeux située place de la Mairie,2465.0,1232.0,JARRAUD-VERGNOLLE Annie,Sénat,PYRENEES-ATLANTIQUES,SOCV
2011/6283,MOYRAZES,AVEYRON,"l'aménagement des RD 57 et RD 67 en traverse du village dans le cadre de l'opération ""Bourg Centre"" (1ère tranche)",450110.0,5250.0,MARCEL Marie-Lou,Assemblée nationale,AVEYRON,SRC
2011/6284,MOYVILLERS,OISE,l'acquisition d'un lave-vaisselle et d'un appareil de cuisson pour la salle des associations,4005.0,2000.0,DEGAUCHY Lucien,Assemblée nationale,OISE,UMP
2011/6285,MOYVILLERS,OISE,l'aménagement de la rue de Lamorlaye,22500.0,11250.0,MARINI Philippe,Sénat,OISE,UMP
2011/6286,M'TZAMBORO,MAYOTTE,l'aménagement des cimetières de M'tzamboro et de M'tsahara 1,583575.0,75000.0,Gouvernement,Réserve ministérielle,,
2011/6287,MUIDES-SUR-LOIRE,LOIR-ET-CHER,l'aménagement du nouvel atelier communal,17021.84,8510.0,MARTIN-LALANDE Patrice,Assemblée nationale,LOIR-ET-CHER,UMP
2011/6288,MUIRANCOURT,OISE,la réfection de la peinture de l'école et l'aménagement de la cuisine de la salle polyvalente,11918.98,5958.0,GONNOT François-Michel,Assemblée nationale,OISE,UMP
2011/6289,MUIRANCOURT,OISE,l'acquisition d'un tracteur-épareuse,26900.0,5000.0,MARINI Philippe,Sénat,OISE,UMP
2011/6290,MULCENT,YVELINES,l'acquisition d'une armoire métallique ignifuge,2929.0,1400.0,PRIMAS Sophie,Assemblée nationale,YVELINES,UMP
2011/6291,MULHAUSEN,BAS-RHIN,l'aménagement de carrefours situés sur la route départementale n° 326 en traverse de la commune,249747.2,30000.0,Gouvernement,Réserve ministérielle,,
2011/6292,MULSANNE,SARTHE,la restructuration et l'extension du restaurant scolaire de l'école Flora Tristan,857000.0,15000.0,PAVY-MORANCAIS Béatrice,Assemblée nationale,,
2011/6293,MUNCHHAUSEN,BAS-RHIN,la restructuration des locaux de la mairie,84500.0,12000.0,REISS Frédéric,Assemblée nationale,BAS-RHIN,UMP
2011/6294,MUNSTER,MOSELLE,l'aménagement d'une allée piétonne le long de la RD 39 (3ème tranche),8372.7,4186.0,MARTY Alain,Assemblée nationale,MOSELLE,UMP
2011/6295,MUNSTER,MOSELLE,"la reprise de trottoirs, rue Principale",4180.0,1000.0,LARCHER Gérard,Sénat,YVELINES,UMP
2011/6296,MUNSTER,MOSELLE,l'acquisition d'un tracteur-tondeuse,2390.0,1195.0,MASSON Jean-Louis,Sénat,,
2011/6297,MURATO,HAUTE-CORSE,l'aménagement d'une aire de jeux à l'école,16538.0,8269.0,GANDOLFI-SCHEIT Sauveur,Assemblée nationale,HAUTE-CORSE,UMP
2011/6298,MURAT-SUR-VEBRE,TARN,la restauration de la toiture de l'église de Boissezon,30224.5,5000.0,FOLLIOT Philippe,Assemblée nationale,TARN,NC
2011/6299,MURBACH,HAUT-RHIN,la réhabilitation de l'ancien presbytère,278149.82,25000.0,SORDI Michel,Assemblée nationale,HAUT-RHIN,UMP
2011/6300,MUR-DE-BRETAGNE,COTES-D'ARMOR,la construction d'un pôle de santé pluridisciplinaire,211608.56,15000.0,LE TEXIER Raymodne,Sénat,,
2011/6301,MURET-ET-CROUTTES,AISNE,"l'enfouissement des réseaux électriques, d'éclairage public et téléphoniques, rue Saint-Jean",30205.83,6000.0,ACCOYER Bernard,Assemblée nationale,HAUTE-SAVOIE,UMP
2011/6302,MUROL,PUY-DE-DOME,la construction d'une maison de santé pluridisciplinaire,786491.3,20000.0,Gouvernement,Réserve ministérielle,,
2011/6303,MUSCOURT,AISNE,"l'installation d'un mât d'éclairage public, rue Lanoue",3450.63,1700.0,LE TEXIER Raymonde,Sénat,VAL-D'OISE,SOCV
2011/6304,MUSIGNY,COTE-D'OR,l'extension du cimetière,46517.43,10000.0,SUGUENOT Alain,Assemblée nationale,COTE-D'OR,UMP
2011/6305,MUSSEY-SUR-MARNE,HAUTE-MARNE,la réfection du clocher et des toitures de l'église,736760.0,15000.0,CORNUT-GENTILLE François,Assemblée nationale,HAUTE-MARNE,UMP
2011/6306,MUSSIDAN,DORDOGNE,la restructuration du groupe scolaire François Collas,1556000.0,5000.0,BERIT-DEBAT Claude,Sénat,DORDOGNE,SOC
2011/6307,MUTIGNY,MARNE,la réfection du lavoir,29080.93,5000.0,OUDIT Mireille,Sénat,MARNE,UMP
