longitude, latitude, nom
5.44256, 43.29603, "[McDo] 13 Marseille 12 (CC Les Caillols)"
5.38823, 43.33110, "[McDo] 13 Marseille 14 (St Barthélemy) (D- -W)"
5.35002, 43.36444, "[McDo] 13 Marseille 15 (C.Cial Grand Littoral bas) ( - -W)"
5.05430, 43.42170, "[McDo] 13 Martigues (D- -W)"
5.00000, 43.58769, "[McDo] 13 Miramas (D- -W)"
5.00090, 43.41220, "[McDo] 13 Port-de-Bouc (D- -W)"
5.22266, 43.48517, "[McDo] 13 Rognac (D- -W)"
5.22951, 43.41804, "[McDo] 13 Saint Victoret (Marignane) (D- -W)"
5.09938, 43.63813, "[McDo] 13 Salon-de-Provence (Gambetta) ( - -W)"
5.10065, 43.63193, "[McDo] 13 Salon-de-Provence (L'Arceau) (D- -W)"
5.11254, 43.62878, "[McDo] 13 Salon-de-Provence (Sud) (D- -W)"
5.26360, 43.43094, "[McDo] 13 Vitrolles (Bastide Blanche) (D- -W)"
-0.70111, 49.28427, "[McDo] 14 Bayeux (D- -W)"
-0.42378, 49.16392, "[McDo] 14 Bretteville-sur-Odon ( - -W)"
-0.36158, 49.18320, "[McDo] 14 Caen (Centre) ( - -W)"
-0.36483, 49.20982, "[McDo] 14 Caen (Cote de Nacre - C.Cial Carrefour) ( - -W)"
-0.36218, 49.21010, "[McDo] 14 Caen (Cote de Nacre) (D- -W)"
-0.10298, 49.27580, "[McDo] 14 Dives-sur-Mer (D- -W)"
-0.20754, 48.91323, "[McDo] 14 Falaise (D- -W)"
-0.32730, 49.20630, "[McDo] 14 Hérouville-Saint-Clair (C.Cial St-Clair) ( - -W)"
-0.33870, 49.14667, "[McDo] 14 Ifs (D- - )"
-1.09989, 49.31210, "[McDo] 14 Isigny-sur-Mer (D- -W)"
0.25165, 49.41132, "[McDo] 14 La Rivière-Saint-Sauveur (D- -W)"
0.26335, 49.14392, "[McDo] 14 Lisieux (D- -W)"
-0.29676, 49.16377, "[McDo] 14 Mondeville (C.Cial Mondeville 2) (D- -W)"
-0.17652, 49.11751, "[McDo] 14 Moult (D- -W)"
-0.26115, 49.26812, "[McDo] 14 Ouistreham (C.Cial Champion) (D- -W)"
0.09672, 49.34700, "[McDo] 14 Touques (D- -W)"
-0.88292, 48.84695, "[McDo] 14 Viré (D- - )"
3.06310, 45.03817, "[McDo] 15 Andelat (D-K-W)"
2.44136, 44.91366, "[McDo] 15 Aurillac (D- -W)"
0.18113, 45.69385, "[McDo] 16 Champniers (C.Cial Géant) (D- -W)"
-0.32111, 45.69056, "[McDo] 16 Cognac (D- -W)"
0.11082, 45.62455, "[McDo] 16 La Couronne (D- -W)"
0.21248, 45.63294, "[McDo] 16 Soyaux (D- -W)"
-1.10278, 46.11194, "[McDo] 17 Angoulins (C.Cial Carrefour) (D- -W)"
-1.15325, 46.14818, "[McDo] 17 La Rochelle (Aquarium-Les Minimes) ( - -W)"
-1.16893, 46.17508, "[McDo] 17 Lagord (C.Cial Leclerc) (D- -W)"
-1.11917, 45.83028, "[McDo] 17 Marennes (D- -W)"
-0.56329, 45.57412, "[McDo] 17 Pons (D- -W)"
-0.97740, 45.95880, "[McDo] 17 Rochefort (D- -W)"
-1.00259, 45.62324, "[McDo] 17 Royan (D- -W)"
-0.52971, 45.95497, "[McDo] 17 Saint Jean-d'Angély (D- -W)"
-0.66289, 45.74005, "[McDo] 17 Saintes (D- -W)"
2.36411, 47.06046, "[McDo] 18 Bourges (Aeroport) (D- -W)"
2.42152, 47.09259, "[McDo] 18 Bourges (C.Cial Carrefour) (D- -W)"
2.49173, 46.73379, "[McDo] 18 Saint Amand-Montrond (Parking Intermarché) (D- -W)"
2.37768, 47.11182, "[McDo] 18 Saint Doulchard (C.Cial Géant) (D- -W)"
2.09147, 47.23936, "[McDo] 18 Vierzon (C.Cial Carrefour) (D- -W)"
1.48181, 45.14665, "[McDo] 19 Brive-la-Gaillarde (D- -W)"
1.56092, 45.16899, "[McDo] 19 Malemort-sur-Corrèze (D- -W)"
1.76083, 45.25361, "[McDo] 19 Tulle (D- -W)"
2.30050, 45.53604, "[McDo] 19 Ussel (D- -W)"
4.85651, 47.00074, "[McDo] 21 Beaune (Levernois) (D- -W)"
5.11477, 47.30393, "[McDo] 21 Chevigny-Saint-Sauveur (D- -W)"
4.56410, 47.87888, "[McDo] 21 Châtillon-sur-Seine (D- -W)"
5.03715, 47.32233, "[McDo] 21 Dijon (Centre) ( -K-W)"
5.06386, 47.31529, "[McDo] 21 Dijon (Gabriel) ( - -W)"
5.06609, 47.33930, "[McDo] 21 Dijon (Nord-Est) (D- -W)"
5.04899, 47.36052, "[McDo] 21 Dijon (Parc Valmy) (D- -W)"
5.03349, 47.33682, "[McDo] 21 Fontaine-lès-Dijon (D- -W)"
5.01638, 47.28025, "[McDo] 21 Marsannay-la-Cote (D- -W)(24/24)"
