lycee,ville,type,effectif,success
LYCEE STE ELISABETH,RENNES,PR,56,88
LYCEE ST MAGLOIRE,RENNES,PR,60,88
LYCEE STE GENEVIEVE,RENNES,PR,143,88
LYCEE LES RIMAINS,RENNES,PR,35,88
LYCEE COLBERT (GENERAL ET TECHNO.),RENNES,PU,212,88
LYCEE GUY DE MAUPASSANT,ROUEN,PU,362,88
LYCEE ALPHONSE HEINRICH,STRASBOURG,PU,124,88
LYCEE ORT,STRASBOURG,PR,44,88
LYCEE GABRIEL FAURE,TOULOUSE,PU,261,88
LYCEE PAUL MATHOU,TOULOUSE,PU,127,88
LYCEE L' ANNONCIATION,TOULOUSE,PR,50,88
LYCEE JEAN DUPUY,TOULOUSE,PU,98,88
LYCEE SAINT-ETIENNE,TOULOUSE,PR,52,88
LYCEE NOTRE-DAME,TOULOUSE,PR,105,88
LYCEE BOURDELLE,TOULOUSE,PU,445,88
LYCEE HENRI POINCARE,VERSAILLES,PU,94,88
LYCEE JACQUES PREVERT,VERSAILLES,PU,231,88
LYCEE MONTESQUIEU (GENERAL ET TECHNO.),VERSAILLES,PU,89,88
LYCEE GUSTAVE MONOD,VERSAILLES,PU,417,88
LYCEE EDMOND ROSTAND,VERSAILLES,PU,219,88
LYCEE JEAN PERRIN (GENERAL ET TECHNO.),VERSAILLES,PU,147,88
LYCEE CAMILLE CLAUDEL (GENERAL ET TECHNO.),VERSAILLES,PU,339,88
LYCEE LEONARD DE VINCI,VERSAILLES,PU,90,88
LYCEE VAUVENARGUES,AIX-MARSEILLE,PU,421,87
LYCEE MEDITERRANEE (DE LA ) (GENERAL ET TECHNO.),AIX-MARSEILLE,PU,178,87
LYCEE HONORE DAUMIER,AIX-MARSEILLE,PU,283,87
LYCEE CHARLES DE GAULLE (PLACE) (GENERAL ET TECHNO.),AIX-MARSEILLE,PU,138,87
LYCEE PIERRE DE LA RAMEE,AMIENS,PU,354,87
LYCEE FELIX FAURE,AMIENS,PU,373,87
LYCEE CHARLES DE GAULLE,AMIENS,PU,295,87
LYCEE MARIE CURIE,AMIENS,PU,364,87
LYCEE BOUCHER DE PERTHES,AMIENS,PU,375,87
LYCEE DU VIMEU,AMIENS,PU,157,87
LYCEE EDOUARD BELIN (GENERAL ET TECHNO.),BESANCON,PU,251,87
LYCEE JEANNE D'ARC,BESANCON,PR,31,87
LYCEE ANATOLE DE MONZIE,BORDEAUX,PU,142,87
LYCEE NICOLAS BREMONTIER,BORDEAUX,PU,224,87
LYCEE FRANCOIS MAURIAC,BORDEAUX,PU,353,87
LYCEE ODILON REDON,BORDEAUX,PU,189,87
LYCEE VALERY LARBAUD (GENERAL ET TECHNO.),CLERMONT-FERRAND,PU,80,87
LYCEE BLAISE DE VIGENERE,CLERMONT-FERRAND,PU,86,87
LYCEE SAINT EUGENE - SAINT JOSEPH (GENERAL ET TECHNO.),CLERMONT-FERRAND,PR,97,87
LYCEE SACRE COEUR,CLERMONT-FERRAND,PR,44,87
LYCEE CHARLES LE CHAUVE,CRETEIL,PU,454,87
LYCEE LOUISE MICHEL,CRETEIL,PU,217,87
LYCEE PAUL DOUMER (GENERAL ET TECHNO.),CRETEIL,PU,201,87
LYCEE GUILLAUME BUDE (GENERAL ET TECHNO.),CRETEIL,PU,365,87
LYCEE LOUIS ARMAND (GENERAL ET TECHNO.),CRETEIL,PU,133,87
LYCEE ROMAIN ROLLAND (GENERAL ET TECHNO.),DIJON,PU,83,87
LYCEE BOISSY D'ANGLAS,GRENOBLE,PU,229,87
LYCEE HENRI LAURENS,GRENOBLE,PU,114,87
LYCEE JULES ALGOUD,GRENOBLE,PU,131,87
LYCEE CHARLES COEFFIN (GENERAL ET TECHNO.),GUADELOUPE,PU,279,87
LYCEE MAITRISE DE MASSABIELLE,GUADELOUPE,PR,144,87
LYCEE NORD BASSE TERRE,GUADELOUPE,PU,183,87
LYCEE DE ST PAUL 4 (GENERAL ET TECHNO.),LA REUNION,PU,195,87
LYCEE DE BOIS D'OLIVE (GENERAL ET TECHNO.),LA REUNION,PU,164,87
LYCEE BEL AIR,LA REUNION,PU,122,87
LYCEE PAUL DUEZ,LILLE,PU,314,87
LYCEE VAUBAN,LILLE,PR,88,87
LYCEE DUPLEIX,LILLE,PU,164,87
LYCEE PRIVE AVERROES,LILLE,PR,43,87
LYCEE LA SAGESSE,LILLE,PR,123,87
LYCEE JAN LAVEZZARI,LILLE,PU,210,87
LYCEE EDOUARD BRANLY (GENERAL ET TECHNO.),LILLE,PU,261,87
LYCEE ALBERT CAMUS,LYON,PU,278,87
LYCEE TEZENAS DU MONTCEL,LYON,PR,128,87
LYCEE BELMONT-CAPDEPON,LYON,PR,117,87
LYCEE COLBERT,LYON,PU,110,87
LYCEE FREDERIC FAYS,LYON,PU,207,87
LYCEE DENIS DIDEROT,MONTPELLIER,PU,449,87
LYCEE JEAN-BAPTISTE DUMAS (GENERAL ET TECHNO.),MONTPELLIER,PU,357,87
LYCEE ANDRE CHAMSON (GENERAL ET TECHNO.),MONTPELLIER,PU,116,87
LYCEE GENEVIEVE DE GAULLE-ANTHONIOZ (GENERAL ET TECHNO.),MONTPELLIER,PU,401,87
LYCEE ST VINCENT DE PAUL (GENERAL ET TECHNO.),MONTPELLIER,PR,158,87
LYCEE JEAN MERMOZ (GENERAL ET TECHNO.),MONTPELLIER,PU,613,87
LYCEE PABLO PICASSO (GENERAL ET TECHNO.),MONTPELLIER,PU,399,87
LYCEE SAINT MICHEL,NANCY-METZ,PR,20,87
LYCEE ALFRED MEZIERES,NANCY-METZ,PU,340,87
LYCEE FELIX MAYER (GENERAL ET TECHNO.),NANCY-METZ,PU,221,87
LYCEE CHARLES HERMITE (GENERAL ET TECHNO.),NANCY-METZ,PU,191,87
LYCEE NOTRE DAME,NANCY-METZ,PR,50,87
LYCEE JEAN LURCAT,NANCY-METZ,PU,146,87
LYCEE PIERRE ET MARIE CURIE (GENERAL ET TECHNO.),NANCY-METZ,PU,175,87
LYCEE BRISTOL,NICE,PU,338,87
LYCEE CARNOT,NICE,PU,347,87
LYCEE GUILLAUME APOLLINAIRE,NICE,PU,427,87
LYCEE RAYNOUARD (GENERAL ET TECHNO.),NICE,PU,347,87
LYCEE LORGUES,NICE,PU,272,87
LYCEE PIERRE ET MARIE CURIE,ORLEANS-TOURS,PU,372,87
LYCEE BERNARD PALISSY,ORLEANS-TOURS,PU,262,87
LYCEE GAUDIER-BRZESKA,ORLEANS-TOURS,PU,63,87
LYCEE CAMILLE SEE,PARIS,PU,169,87
LYCEE HEIKHAL MENAHEM SINAI,PARIS,PR,24,87
LYCEE EMILE ROUX (GENERAL ET TECHNO.),POITIERS,PU,151,87
LYCEE JEAN HYPPOLITE,POITIERS,PU,183,87
LYCEE ST BERNARD,REIMS,PR,86,87
LYCEE CHRESTIEN DE TROYES,REIMS,PU,327,87
LYCEE CHAPTAL,RENNES,PU,47,87
LYCEE PIERRE GUEGUIN,RENNES,PU,130,87
LYCEE DU LEON,RENNES,PU,124,87
LYCEE JEAN MACE (GENERAL ET TECHNO.),RENNES,PU,158,87
LYCEE JEANNE D'ARC - SAINT-ANSELME,ROUEN,PR,66,87
LYCEE JEAN-BAPTISTE DECRETOT,ROUEN,PU,33,87
LYCEE LES FONTENELLES,ROUEN,PU,315,87
LYCEE MARC BLOCH,ROUEN,PU,202,87
LYCEE LA PROVIDENCE,ROUEN,PR,58,87
LYCEE JULES SIEGFRIED,ROUEN,PU,106,87
LYCEE LA CHATAIGNERAIE (GENERAL ET TECHNO.),ROUEN,PR,61,87
LYCEE GUILLAUME LE CONQUERANT,ROUEN,PU,396,87
LYCEE,TOULOUSE,PU,135,87
LYCEE MARECHAL SOULT,TOULOUSE,PU,136,87
LYCEE L ESSOURIAU (GENERAL ET TECHNO.),VERSAILLES,PU,320,87
LYCEE ROSA PARKS,VERSAILLES,PU,660,87
LYCEE MARGUERITE YOURCENAR (GENERAL ET TECHNO.),VERSAILLES,PU,195,87
LYCEE GALILEE,VERSAILLES,PU,297,87
LYCEE JEAN-JACQUES ROUSSEAU,VERSAILLES,PU,286,87
LYCEE CAMILLE PISSARRO,VERSAILLES,PU,358,87
LYCEE PAUL ARENE,AIX-MARSEILLE,PU,179,86
LYCEE STE CATHERINE DE SIENNE,AIX-MARSEILLE,PR,29,86
LYCEE STE MARIE,AIX-MARSEILLE,PR,41,86
LYCEE MONTMAJOUR,AIX-MARSEILLE,PU,169,86
LYCEE PASQUET,AIX-MARSEILLE,PU,314,86
LYCEE AUGUSTE ET LOUIS LUMIERE (GENERAL ET TECHNO.),AIX-MARSEILLE,PU,277,86
LYCEE ST JEAN,AIX-MARSEILLE,PR,62,86
LYCEE LUCIE AUBRAC,AIX-MARSEILLE,PU,169,86
LYCEE PAUL CLAUDEL,AMIENS,PU,288,86
LYCEE SAINT REMY,AMIENS,PR,133,86
LYCEE ST VINCENT DE PAUL,AMIENS,PR,26,86
LYCEE ST VINCENT DE PAUL,AMIENS,PR,24,86
LYCEE SACRE COEUR,AMIENS,PR,152,86
LYCEE PIERRE MENDES FRANCE,AMIENS,PU,186,86
LYCEE PASTEUR MONT ROLAND (GENERAL ET TECHNO.),BESANCON,PR,99,86
LYCEE VICTOR BERARD,BESANCON,PU,114,86
LYCEE RAOUL FOLLEREAU,BESANCON,PU,314,86
LYCEE STE MARTHE - ST FRONT,BORDEAUX,PR,65,86
LYCEE LEONARD DE VINCI,BORDEAUX,PU,51,86
LYCEE STE FAMILLE SAINTONGE,BORDEAUX,PR,54,86
LYCEE PHILIPPE COUSTEAU,BORDEAUX,PU,134,86
LYCEE HOTEL.TOURISME GASCOGNE,BORDEAUX,PU,79,86
LYCEE NOTRE DAME LA COMPASSION,BORDEAUX,PR,71,86
LYCEE MARGUERITE DE NAVARRE,CAEN,PU,268,86
LYCEE SAINTE PROCULE,CLERMONT-FERRAND,PR,28,86
LYCEE GODEFROY DE BOUILLON,CLERMONT-FERRAND,PR,217,86
LYCEE SIDOINE APOLLINAIRE,CLERMONT-FERRAND,PU,327,86
LYCEE SAINT PIERRE,CLERMONT-FERRAND,PR,28,86
LYCEE GASTON BACHELARD,CRETEIL,PU,315,86
LYCEE DE LA MARE CARREE (GENERAL ET TECHNO.),CRETEIL,PU,180,86
LYCEE GERARD DE NERVAL (GENERAL ET TECHNO.),CRETEIL,PU,173,86
LYCEE JEAN ZAY,CRETEIL,PU,331,86
LYCEE SACRE COEUR  NOTRE DAME,GRENOBLE,PR,76,86
LYCEE DU DAUPHINE,GRENOBLE,PU,141,86
LYCEE LOUISE MICHEL,GRENOBLE,PU,306,86
LYCEE LAMA PREVOT (GENERAL ET TECHNO.),GUYANE,PU,113,86
LYCEE DE VINCENDO (GENERAL ET TECHNO.),LA REUNION,PU,149,86
LYCEE PIERRE POIVRE,LA REUNION,PU,239,86
LYCEE SAINTE JEANNE D'ARC,LILLE,PR,30,86
LYCEE DEFOREST DE LEWARDE,LILLE,PR,75,86
LYCEE LOUIS PASTEUR,LILLE,PU,203,86
LYCEE CARNOT (GENERAL ET TECHNO.),LILLE,PU,306,86
LYCEE CLAUDE LEBOIS,LYON,PU,195,86
LYCEE LACASSAGNE,LYON,PU,174,86
LYCEE CONDORCET,LYON,PU,364,86
LYCEE JOSEPH ZOBEL (GENERAL ET TECHNO.),MARTINIQUE,PU,181,86
LYCEE SAINT LOUIS (GENERAL ET TECHNO.),MONTPELLIER,PR,61,86
LYCEE ST JOSEPH PIERRE ROUGE,MONTPELLIER,PR,122,86
LYCEE JEAN MONNET,MONTPELLIER,PU,464,86
LYCEE JULES GUESDE (GENERAL ET TECHNO.),MONTPELLIER,PU,206,86
LYCEE IRENE ET FREDERIC JOLIOT CURIE,MONTPELLIER,PU,258,86
LYCEE L'ASSOMPTION,NANCY-METZ,PR,53,86
LYCEE JEAN ZAY (GENERAL ET TECHNO.),NANCY-METZ,PU,153,86
LYCEE SAINT PIERRE FOURIER,NANCY-METZ,PR,34,86
LYCEE SAINT LEON IX,NANCY-METZ,PR,34,86
LYCEE HENRI NOMINE,NANCY-METZ,PU,188,86
LYCEE ET DES TECHNO INNOV. C. JULLY,NANCY-METZ,PU,216,86
LYCEE MAURICE JANETTI (GENERAL ET TECHNO.),NICE,PU,291,86
LYCEE JEAN MOULIN,ORLEANS-TOURS,PU,195,86
LYCEE CLAUDE DE FRANCE,ORLEANS-TOURS,PU,310,86
LYCEE DURZY,ORLEANS-TOURS,PU,238,86
LYCEE HONORE DE BALZAC,PARIS,PU,268,86
LYCEE EMILE COMBES (GENERAL ET TECHNO.),POITIERS,PU,163,86
LYCEE GUY CHAUVET,POITIERS,PU,116,86
LYCEE ISAAC DE L'ETOILE (FEUILLANTS),POITIERS,PR,101,86
LYCEE VAUBAN,REIMS,PU,65,86
LYCEE F. ET I. JOLIOT CURIE,REIMS,PU,285,86
LYCEE LES LOMBARDS,REIMS,PU,168,86
LYCEE GODART ROGER (GENERAL ET TECHNO.),REIMS,PU,171,86
LYCEE DUPUY DE LOME (GENERAL ET TECHNO.),RENNES,PU,111,86
LYCEE MODESTE LEROY,ROUEN,PU,183,86
LYCEE SAINT-FRANCOIS DE SALES,ROUEN,PR,165,86
LYCEE SAINT-OUEN,ROUEN,PR,70,86
LYCEE PORTE DE NORMANDIE,ROUEN,PU,191,86
LYCEE PABLO NERUDA,ROUEN,PU,104,86
LYCEE GEORGES BRASSENS (GENERAL ET TECHNO.),ROUEN,PU,190,86
LYCEE JEANNE D'ARC (GENERAL ET TECHNO.),ROUEN,PR,221,86
LYCEE ANDRE MAUROIS,STRASBOURG,PU,223,86
LYCEE LOUIS COUFFIGNAL,STRASBOURG,PU,151,86
LYCEE LOUIS PASTEUR,STRASBOURG,PU,260,86
LYCEE LAMBERT,STRASBOURG,PU,184,86
LYCEE JEAN JAURES,TOULOUSE,PU,70,86
LYCEE FRANCOIS TRUFFAUT (GENERAL ET TECHNO.),VERSAILLES,PU,282,86
LYCEE ALFRED KASTLER (GENERAL ET TECHNO.),VERSAILLES,PU,83,86
LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.),VERSAILLES,PU,223,86
LYCEE ALFRED KASTLER,VERSAILLES,PU,202,86
LYCEE GEORGE SAND (GENERAL ET TECHNO.),VERSAILLES,PU,372,86
LYCEE LOUIS JOUVET (GENERAL ET TECHNO.),VERSAILLES,PU,268,86
LYCEE LOUISE WEISS (GENERAL ET TECHNO.),VERSAILLES,PU,215,86
LYCEE DUMONT D URVILLE (GENERAL ET TECHNO.),VERSAILLES,PU,161,86
LYCEE LES ISCLES (GENERAL ET TECHNO.),AIX-MARSEILLE,PU,120,85
LYCEE EMILE ZOLA,AIX-MARSEILLE,PU,370,85
LYCEE FREDERIC JOLIOT-CURIE,AIX-MARSEILLE,PU,427,85
LYCEE CHIMIE ET BIOLOGIE LA FORBINE,AIX-MARSEILLE,PR,40,85
LYCEE ANTONIN ARTAUD,AIX-MARSEILLE,PU,397,85
LYCEE ALPHONSE DAUDET,AIX-MARSEILLE,PU,238,85
LYCEE ST JEAN BAPTISTE DE LA SALLE,AIX-MARSEILLE,PR,48,85
LYCEE GAY LUSSAC,AMIENS,PU,378,85
LYCEE SEVIGNE,AMIENS,PR,21,85
LYCEE SAINT REMI,AMIENS,PR,183,85
LYCEE ELIE FAURE,BORDEAUX,PU,335,85
LYCEE JULES VERNE,CAEN,PU,42,85
LYCEE JEANNE D ARC,CAEN,PR,36,85
LYCEE LA CHARTREUSE PARADIS,CLERMONT-FERRAND,PR,69,85
LYCEE SAINTE THECLE,CLERMONT-FERRAND,PR,175,85
LYCEE JEAN PAUL DE ROCCA SERRA (GENERAL ET TECHNO.),CORSE,PU,147,85
LYCEE PASCAL PAOLI,CORSE,PU,73,85
LYCEE JEHAN DE CHELLES,CRETEIL,PU,189,85
LYCEE HENRI BECQUEREL (GENERAL ET TECHNO.),CRETEIL,PU,161,85
LYCEE NICOLAS-JOSEPH CUGNOT,CRETEIL,PU,39,85
LYCEE ROBERT SCHUMAN (GENERAL ET TECHNO.),CRETEIL,PU,157,85
LYCEE PABLO PICASSO,CRETEIL,PU,275,85
LYCEE ROMAIN ROLLAND,CRETEIL,PU,251,85
LYCEE EMILAND GAUTHEY (GENERAL ET TECHNO.),DIJON,PU,146,85
LYCEE ROGER DESCHAUX,GRENOBLE,PU,89,85
LYCEE GERVILLE REACHE,GUADELOUPE,PU,405,85
LYCEE DE TROIS BASSINS (GENERAL ET TECHNO.),LA REUNION,PU,174,85
LYCEE MAHATMA GANDHI,LA REUNION,PU,221,85
LYCEE JEAN JOLY (GENERAL ET TECHNO.),LA REUNION,PU,181,85
LYCEE LE VERGER,LA REUNION,PU,289,85
LYCEE ALFRED KASTLER,LILLE,PU,166,85
LYCEE DU NOORDOVER,LILLE,PU,338,85
LYCEE SAINT MARTIN,LILLE,PR,93,85
LYCEE HENRI DARRAS,LILLE,PU,361,85
LYCEE ALBERT CAMUS,LYON,PU,298,85
LYCEE PIERRE BROSSOLETTE,LYON,PU,298,85
LYCEE JULES FIL,MONTPELLIER,PU,382,85
LYCEE JACQUES PREVERT (GENERAL ET TECHNO.),MONTPELLIER,PU,229,85
LYCEE JEAN MOULIN,MONTPELLIER,PU,519,85
LYCEE RENE GOSSE,MONTPELLIER,PU,186,85
LYCEE JEAN LURCAT (GENERAL ET TECHNO.),MONTPELLIER,PU,334,85
LYCEE ARISTIDE MAILLOL (GENERAL ET TECHNO.),MONTPELLIER,PU,356,85
LYCEE HOTEL RESTO LEON BLUM,MONTPELLIER,PU,28,85
LYCEE LOUIS BERTRAND,NANCY-METZ,PU,297,85
LYCEE JACQUES-MARIE BOUTET DE MONVEL (GENERAL ET TECHNO.),NANCY-METZ,PU,52,85
LYCEE GEORGES DE LA TOUR,NANCY-METZ,PU,113,85
LYCEE ANTOINE DE SAINT-EXUPERY,NANCY-METZ,PU,277,85
LYCEE LA MISERICORDE,NANCY-METZ,PR,50,85
LYCEE LA BRIQUERIE (GENERAL ET TECHNO.),NANCY-METZ,PU,110,85
LYCEE GEORGES CLEMENCEAU,NANTES,PU,70,85
LYCEE JACQUES AUDIBERTI,NICE,PU,367,85
LYCEE LES FAUVETTES,NICE,PR,54,85
LYCEE PIERRE-EMILE MARTIN,ORLEANS-TOURS,PU,100,85
LYCEE ROTROU,ORLEANS-TOURS,PU,412,85
LYCEE SAINT-SULPICE,PARIS,PR,154,85
LYCEE GABRIEL FAURE,PARIS,PU,190,85
LYCEE PAUL BERT,PARIS,PU,136,85
LYCEE MONGE,REIMS,PU,217,85
LYCEE FRANCOIS BAZIN,REIMS,PU,138,85
LYCEE PAUL VERLAINE,REIMS,PU,141,85
LYCEE LA SALLE,REIMS,PR,53,85
LYCEE ST J-B DE LA SALLE,REIMS,PR,75,85
LYCEE PIERRE MENDES FRANCE,RENNES,PU,87,85
LYCEE LES TOURELLES (GENERAL ET TECHNO.),ROUEN,PR,50,85
LYCEE SACRE-COEUR,ROUEN,PR,89,85
LYCEE MONTALEMBERT LES MARISTES (GENERAL ET TECHNO.),TOULOUSE,PR,57,85
LYCEE JEANNE D'ARC,TOULOUSE,PR,62,85
LYCEE EDMOND MICHELET,VERSAILLES,PU,314,85
LYCEE MARCEL PAGNOL,VERSAILLES,PU,338,85
LYCEE ALBERT EINSTEIN,VERSAILLES,PU,275,85
LYCEE NEWTON-ENREA (GENERAL ET TECHNO.),VERSAILLES,PU,203,85
LYCEE LA SALLE ST NICOLAS,VERSAILLES,PR,59,85
LYCEE STE TRINITE,AIX-MARSEILLE,PR,46,84
LYCEE SAINT CHARLES,AIX-MARSEILLE,PU,326,84
LYCEE PHILIPPE DE GIRARD,AIX-MARSEILLE,PU,167,84
LYCEE GERARD DE NERVAL,AMIENS,PU,309,84
LYCEE CONDORCET,AMIENS,PU,242,84
LYCEE JEAN MONNET,AMIENS,PU,300,84
LYCEE JACQUES DUHAMEL (GENERAL ET TECHNO.),BESANCON,PU,191,84
LYCEE DU MIRAIL,BORDEAUX,PR,228,84
LYCEE AMBROISE BRUGIERE,CLERMONT-FERRAND,PU,256,84
LYCEE RENE DESCARTES (GENERAL ET TECHNO.),CRETEIL,PU,173,84
LYCEE SAMUEL BECKETT,CRETEIL,PU,147,84
LYCEE CHARLES DE GAULLE,CRETEIL,PU,289,84
LYCEE PIERRE DE COUBERTIN,CRETEIL,PU,350,84
LYCEE LES PANNEVELLES,CRETEIL,PU,127,84
LYCEE MAXIMILIEN SORRE,CRETEIL,PU,228,84
LYCEE SAINT ANDRE,CRETEIL,PR,58,84
LYCEE DARIUS MILHAUD (GENERAL ET TECHNO.),CRETEIL,PU,269,84
LYCEE SAINT ETIENNE (GENERAL ET TECHNO.),DIJON,PR,85,84
LYCEE LES TROIS SOURCES,GRENOBLE,PU,218,84
LYCEE SAINT LOUIS,GRENOBLE,PR,27,84
LYCEE JARDIN D'ESSAI,GUADELOUPE,PU,271,84
LYCEE BOISJOLY POTIER (GENERAL ET TECHNO.),LA REUNION,PU,157,84
LYCEE DE BRAS FUSIL (GENERAL ET TECHNO.),LA REUNION,PU,114,84
LYCEE SAINTE THERESE,LILLE,PR,71,84
LYCEE CAMILLE DESMOULINS (GENERAL ET TECHNO.),LILLE,PU,74,84
LYCEE HELENE BOUCHER,LILLE,PR,63,84
LYCEE,LILLE,PU,290,84
LYCEE EIC JEHANNE D'ARC,LILLE,PR,40,84
LYCEE ANDRE MALRAUX,LILLE,PU,186,84
LYCEE FERNAND DARCHICOURT,LILLE,PU,511,84
LYCEE SAINT JOSEPH,LILLE,PR,139,84
LYCEE DE L'AA,LILLE,PU,93,84
LYCEE SUZANNE VALADON (GENERAL ET TECHNO.),LIMOGES,PU,328,84
LYCEE PAUL PAINLEVE (GENERAL ET TECHNO.),LYON,PU,142,84
LYCEE DU NORD CARAIBE (GENERAL ET TECHNO.),MARTINIQUE,PU,92,84
LYCEE ACAJOU 2 (GENERAL ET TECHNO.),MARTINIQUE,PU,239,84
LYCEE MONTGERALD,MARTINIQUE,PU,215,84
LYCEE ERNEST HEMINGWAY (GENERAL ET TECHNO.),MONTPELLIER,PU,271,84
LYCEE SAINTE-LOUISE-DE-MARILLAC (GENERAL ET TECHNO.),MONTPELLIER,PR,44,84
LYCEE CHARLES RENOUVIER (GENERAL ET TECHNO.),MONTPELLIER,PU,193,84
LYCEE JEAN MOULIN,NANCY-METZ,PU,211,84
LYCEE ROBERT SCHUMAN,NANCY-METZ,PU,324,84
LYCEE GUSTAVE EIFFEL,NANCY-METZ,PU,100,84
LYCEE JEAN-BAPTISTE COLBERT,NANCY-METZ,PU,307,84
LYCEE BENJAMIN FRANKLIN (GENERAL ET TECHNO.),ORLEANS-TOURS,PU,290,84
LYCEE TURGOT,PARIS,PU,199,84
LYCEE DORIAN,PARIS,PU,105,84
LYCEE GEORGES BRIERE,REIMS,PU,73,84
LYCEE NOTRE DAME DE CAMPOSTAL,RENNES,PR,93,84
LYCEE LOUISE MICHEL,ROUEN,PU,266,84
LYCEE ANDRE MAUROIS,ROUEN,PU,322,84
LYCEE SAINT-JOSEPH DE CLUNY,STRASBOURG,PR,21,84
LYCEE NOTRE-DAME DE GARAISON (GENERAL ET TECHNO.),TOULOUSE,PR,32,84
LYCEE SAINT-JOSEPH DE L'APPARITION,TOULOUSE,PR,36,84
LYCEE JEAN PIERRE TIMBAUD (GENERAL ET TECHNO.),VERSAILLES,PU,285,84
LYCEE ROBERT DOISNEAU,VERSAILLES,PU,491,84
LYCEE MAURICE ELIOT,VERSAILLES,PU,124,84
LYCEE EUGENE IONESCO (GENERAL ET TECHNO.),VERSAILLES,PU,163,84
LYCEE EVARISTE GALOIS (GENERAL ET TECHNO.),VERSAILLES,PU,176,84
LYCEE CAMILLE SAINT-SAENS,VERSAILLES,PU,344,84
LYCEE PAUL-EMILE VICTOR (GENERAL ET TECHNO.),VERSAILLES,PU,152,84
LYCEE CONDORCET (GENERAL ET TECHNO.),VERSAILLES,PU,186,84
LYCEE LEOPOLD SEDAR SENGHOR (GENERAL ET TECHNO.),VERSAILLES,PU,240,84
LYCEE ST EXUPERY,VERSAILLES,PU,296,84
LYCEE JULES FERRY (GENERAL ET TECHNO.),VERSAILLES,PU,233,84
LYCEE JEAN PERRIN (GENERAL ET TECHNO.),AIX-MARSEILLE,PU,369,83
LYCEE JEAN COCTEAU,AIX-MARSEILLE,PU,199,83
LYCEE JEAN MONNET (GENERAL ET TECHNO.),AIX-MARSEILLE,PU,258,83
LYCEE FREDERIC ET IRENE JOLIOT CURIE,AMIENS,PU,172,83
LYCEE CONDORCET,AMIENS,PU,297,83
LYCEE JEAN CALVIN,AMIENS,PU,338,83
LYCEE EDOUARD BRANLY,AMIENS,PU,123,83
LYCEE NOTRE DAME,BORDEAUX,PR,69,83
LYCEE STE CATHERINE,BORDEAUX,PR,51,83
INSTITUT LEMONNIER,CAEN,PR,40,83
LYCEE DE BALAGNE (GENERAL ET TECHNO.),CORSE,PU,102,83
LYCEE MAXIMILIEN PERRET,CRETEIL,PU,145,83
LYCEE JEAN MACE,CRETEIL,PU,291,83
LYCEE CATHOLIQUE CHALONNAIS (GENERAL ET TECHNO.),DIJON,PR,106,83
LYCEE ASTIER (GENERAL ET TECHNO.),GRENOBLE,PU,46,83
LYCEE GUILLAUME FICHET (GENERAL ET TECHNO.),GRENOBLE,PU,214,83
LYCEE JEAN HINGLO,LA REUNION,PU,211,83
LYCEE AMIRAL PIERRE BOUVET,LA REUNION,PU,321,83
LYCEE LISLET GEOFFROY,LA REUNION,PU,263,83
LYCEE JEAN-BAPTISTE COROT,LILLE,PU,279,83
LYCEE BEAUPRE (GENERAL ET TECHNO.),LILLE,PU,237,83
LYCEE VALENTINE LABBE (GENERAL ET TECHNO.),LILLE,PU,278,83
LYCEE EIC MARIE NOEL,LILLE,PR,83,83
LYCEE LAVOISIER,LILLE,PU,92,83
LYCEE DIDEROT,LILLE,PU,179,83
LYCEE JEAN MONNET,LYON,PU,140,83
LYCEE MARCEL SEMBAT,LYON,PU,127,83
LYCEE DHUODA,MONTPELLIER,PU,257,83
LYCEE JULES FERRY,NANCY-METZ,PU,271,83
LYCEE BLAISE PASCAL (GENERAL ET TECHNO.),ORLEANS-TOURS,PU,193,83
LYCEE SIMONE WEIL,PARIS,PU,110,83
LYCEE LA FONTAINE DU VE,REIMS,PU,104,83
LYCEE COUBERTIN,ROUEN,PU,62,83
LYCEE LOUIS ARMAND,STRASBOURG,PU,275,83
LYCEE AUGUSTE RENOIR,VERSAILLES,PU,298,83
LYCEE JEAN MONNET (GENERAL ET TECHNO.),VERSAILLES,PU,319,83
LYCEE MAURICE GENEVOIX,AIX-MARSEILLE,PU,182,82
LYCEE CHARLES PEGUY,AIX-MARSEILLE,PR,105,82
LYCEE DON BOSCO,AIX-MARSEILLE,PR,47,82
LYCEE PASTRE - GRANDE BASTIDE,AIX-MARSEILLE,PR,30,82
LYCEE MARIE GASQUET,AIX-MARSEILLE,PR,27,82
LYCEE MARIE CURIE,AIX-MARSEILLE,PU,205,82
LYCEE MARCEL PAGNOL,AIX-MARSEILLE,PU,274,82
LYCEE SACRE COEUR,AMIENS,PR,32,82
LYCEE NOTRE DAME DES ANGES,BESANCON,PR,74,82
LYCEE GEORGES CLEMENCEAU (GENERAL ET TECHNO.),CORSE,PU,78,82
LYCEE GUSTAVE EIFFEL,CRETEIL,PU,329,82
LYCEE RENE CASSIN (GENERAL ET TECHNO.),CRETEIL,PU,24,82
LYCEE JEAN ROSTAND (GENERAL ET TECHNO.),CRETEIL,PU,304,82
LYCEE ANDRE  ARGOUGES,GRENOBLE,PU,131,82
LYCEE BAIMBRIDGE,GUADELOUPE,PU,428,82
LYCEE NORD GRANDE TERRE (GENERAL ET TECHNO.),GUADELOUPE,PU,130,82
